key_col,season,game_date,game_id,team_abbrev,team_id,toc,toc_string,points_for,points_against,is_win,fgm,fga,tpm,tpa,ftm,fta,oreb,dreb,ast,tov,stl,blk,shots_blocked,pf,pf_drawn,points,plus_minus,is_home
1610612739216000012016-10-25,2017,2016-10-25,21600001,CLE,1610612739,2880,48:00,117,88,1,45,94,13,35,14,19,11,40,31,14,6,5,6,22,23,,29,1
1610612752216000012016-10-25,2017,2016-10-25,21600001,NYK,1610612752,2880,48:00,88,117,0,32,87,9,27,15,20,13,29,17,18,12,6,5,23,22,,-29,0
1610612757216000022016-10-25,2017,2016-10-25,21600002,POR,1610612757,2880,48:00,113,104,1,39,75,13,19,22,22,5,29,22,12,9,3,5,20,19,,9,1
1610612762216000022016-10-25,2017,2016-10-25,21600002,UTA,1610612762,2880,48:00,104,113,0,40,82,8,24,16,16,6,25,19,11,5,5,3,19,20,,-9,0
1610612744216000032016-10-25,2017,2016-10-25,21600003,GSW,1610612744,2880,48:00,100,129,0,40,85,7,33,13,18,8,27,24,16,13,6,3,19,19,,-29,1
1610612759216000032016-10-25,2017,2016-10-25,21600003,SAS,1610612759,2880,48:00,129,100,1,47,98,12,24,23,26,21,34,25,13,11,3,6,19,19,,29,0
1610612748216000042016-10-26,2017,2016-10-26,21600004,MIA,1610612748,2880,48:00,108,96,1,47,97,4,16,10,16,16,36,27,10,5,7,4,23,15,,12,0
1610612753216000042016-10-26,2017,2016-10-26,21600004,ORL,1610612753,2880,48:00,96,108,0,34,89,6,18,22,28,15,30,20,11,5,4,7,15,23,,-12,1
1610612742216000052016-10-26,2017,2016-10-26,21600005,DAL,1610612742,3180,53:00,121,130,0,45,104,18,48,13,18,10,39,26,15,11,8,6,27,23,,-9,0
1610612754216000052016-10-26,2017,2016-10-26,21600005,IND,1610612754,3180,53:00,130,121,1,47,93,10,19,26,34,8,44,30,16,8,6,8,23,27,,9,1
1610612738216000062016-10-26,2017,2016-10-26,21600006,BOS,1610612738,2880,48:00,122,117,1,48,89,11,32,15,18,12,35,36,19,8,9,3,20,19,,5,1
1610612751216000062016-10-26,2017,2016-10-26,21600006,BKN,1610612751,2880,48:00,117,122,0,43,97,15,44,16,20,15,29,22,16,13,3,9,19,20,,-5,0
1610612761216000072016-10-26,2017,2016-10-26,21600007,TOR,1610612761,2880,48:00,109,91,1,41,86,3,18,24,29,14,37,17,11,8,0,0,22,24,,18,1
1610612765216000072016-10-26,2017,2016-10-26,21600007,DET,1610612765,2880,48:00,91,109,0,35,84,4,22,17,22,8,32,17,13,8,0,0,24,22,,-18,0
1610612749216000082016-10-26,2017,2016-10-26,21600008,MIL,1610612749,2880,48:00,96,107,0,39,92,3,16,15,20,10,36,23,8,5,5,10,23,22,,-11,1
1610612766216000082016-10-26,2017,2016-10-26,21600008,CHA,1610612766,2880,48:00,107,96,1,40,89,7,23,20,24,11,40,27,10,4,10,5,22,23,,11,0
1610612750216000092016-10-26,2017,2016-10-26,21600009,MIN,1610612750,2880,48:00,98,102,0,36,86,6,18,20,29,15,30,20,10,6,5,11,23,26,,-4,0
1610612763216000092016-10-26,2017,2016-10-26,21600009,MEM,1610612763,2880,48:00,102,98,1,36,80,11,24,19,27,11,34,19,13,6,11,5,26,23,,4,1
1610612740216000102016-10-26,2017,2016-10-26,21600010,NOP,1610612740,2880,48:00,102,107,0,38,92,3,19,23,26,5,28,31,11,7,5,4,29,23,,-5,1
1610612743216000102016-10-26,2017,2016-10-26,21600010,DEN,1610612743,2880,48:00,107,102,1,37,83,8,24,25,33,11,47,18,24,16,4,5,23,29,,5,0
1610612755216000112016-10-26,2017,2016-10-26,21600011,PHI,1610612755,2880,48:00,97,103,0,36,84,7,24,18,25,5,38,21,13,7,10,3,22,23,,-6,1
1610612760216000112016-10-26,2017,2016-10-26,21600011,OKC,1610612760,2880,48:00,103,97,1,39,94,6,22,19,26,13,40,19,10,5,3,10,23,22,,6,0
1610612756216000122016-10-26,2017,2016-10-26,21600012,PHX,1610612756,2880,48:00,94,113,0,36,77,4,16,18,27,10,31,20,18,5,3,5,30,20,,-19,1
1610612758216000122016-10-26,2017,2016-10-26,21600012,SAC,1610612758,2880,48:00,113,94,1,44,86,6,21,19,26,10,31,24,13,6,5,3,20,30,,19,0
1610612745216000132016-10-26,2017,2016-10-26,21600013,HOU,1610612745,2880,48:00,114,120,0,44,86,7,29,19,27,10,29,29,14,10,1,4,22,24,,-6,0
1610612747216000132016-10-26,2017,2016-10-26,21600013,LAL,1610612747,2880,48:00,120,114,1,45,89,12,35,18,22,11,28,21,15,10,4,1,24,22,,6,1
1610612737216000142016-10-27,2017,2016-10-27,21600014,ATL,1610612737,2880,48:00,114,99,1,44,88,12,26,14,18,14,38,28,21,14,7,4,20,20,,15,1
1610612764216000142016-10-27,2017,2016-10-27,21600014,WAS,1610612764,2880,48:00,99,114,0,40,94,6,20,13,18,12,28,25,19,13,4,7,20,20,,-15,0
1610612738216000152016-10-27,2017,2016-10-27,21600015,BOS,1610612738,2880,48:00,99,105,0,38,76,8,23,15,24,3,33,22,11,5,6,1,25,21,,-6,0
1610612741216000152016-10-27,2017,2016-10-27,21600015,CHI,1610612741,2880,48:00,105,99,1,36,92,11,25,22,30,18,37,25,12,6,1,6,21,25,,6,1
1610612758216000162016-10-27,2017,2016-10-27,21600016,SAC,1610612758,2880,48:00,94,102,0,28,70,6,20,32,38,6,34,22,15,10,0,8,21,26,,-8,1
1610612759216000162016-10-27,2017,2016-10-27,21600016,SAS,1610612759,2880,48:00,102,94,1,36,79,6,18,24,27,9,31,23,9,7,8,0,26,21,,8,0
